#sampleID	nid	prog	type	cow	treatment	timepoint
11	1	1	FECI	14	BD1	T1
22	2	2	FECI	311	BD1	T1
33	3	3	FECI	314	BD1	T1
44	4	4	FECI	321	BD1	T1
55	5	5	FECI	357	BD1	T1
66	6	6	FECI	359	BD1	T1
77	7	7	FECI	34	BD1	T1
88	8	8	FECI	338	BD1	T1
99	9	9	FECI	30	BD2	T1
1010	10	10	FECI	289	BD2	T1
1111	11	11	FECI	294	BD2	T1
1212	12	12	FECI	307	BD2	T1
1313	13	13	FECI	8	BD2	T1
1414	14	14	FECI	4	CTR	T1
1515	15	15	FECI	12	CTR	T1
1616	16	16	FECI	69	CTR	T1
1717	17	17	FECI	313	CTR	T1
1818	18	18	FECI	332	CTR	T1
1919	19	19	FECI	297	BD1	T1
2020	20	20	FECI	9	BD1	T1
2121	21	21	FECI	11	BD2	T1
2222	22	22	FECI	17	BD2	T1
2323	23	23	FECI	73	BD2	T1
2424	24	24	FECI	20	CTR	T1
2525	25	25	FECI	295	CTR	T1
2626	26	26	FECI	355	CTR	T1
2727	27	27	FECI	325	CTR	T1
2828	28	28	FECI	14	BD1	T2
2929	29	29	FECI	297	BD1	T2
3030	30	30	FECI	311	BD1	T2
3131	31	31	FECI	314	BD1	T2
3232	32	32	FECI	321	BD1	T2
3333	33	33	FECI	357	BD1	T2
3434	34	34	FECI	359	BD1	T2
3535	35	35	FECI	9	BD1	T2
3636	36	36	FECI	34	BD1	T2
3737	37	37	FECI	338	BD1	T2
3838	38	38	FECI	11	BD2	T2
3939	39	39	FECI	17	BD2	T2
4040	40	40	FECI	30	BD2	T2
4141	41	41	FECI	73	BD2	T2
4242	42	42	FECI	289	BD2	T2
4343	43	43	FECI	294	BD2	T2
4444	44	44	FECI	307	BD2	T2
4545	45	45	FECI	8	BD2	T2
4646	46	46	FECI	2 DEL 25-11	BD2	T2
4747	47	47	FECI	2 DEL 11-11	BD2	T1
4848	48	48	FECI	4	CTR	T2
4949	49	49	FECI	12	CTR	T2
5050	50	50	FECI	20	CTR	T2
5151	51	52	FECI	69	CTR	T2
5252	52	53	FECI	295	CTR	T2
5353	53	54	FECI	313	CTR	T2
5454	54	55	FECI	325	CTR	T2
5555	55	56	FECI	332	CTR	T2
5656	56	57	FECI	355	CTR	T2
5757	57	1	RUMINE	14	BD1	T1
5858	58	2	RUMINE	297	BD1	T1
5959	59	3	RUMINE	311	BD1	T1
6060	60	4	RUMINE	314	BD1	T1
6161	61	5	RUMINE	321	BD1	T1
6262	62	6	RUMINE	357	BD1	T1
6363	63	7	RUMINE	359	BD1	T1
6464	64	8	RUMINE	9	BD1	T1
6565	65	9	RUMINE	34	BD1	T1
6666	66	10	RUMINE	338	BD1	T1
6767	67	11	RUMINE	11	BD2	T1
6868	68	12	RUMINE	17	BD2	T1
6969	69	13	RUMINE	30	BD2	T1
7070	70	14	RUMINE	73	BD2	T1
7171	71	15	RUMINE	289	BD2	T1
7272	72	16	RUMINE	294	BD2	T1
7373	73	17	RUMINE	307	BD2	T1
7474	74	18	RUMINE	8	BD2	T1
7575	75	19	RUMINE	2	BD2	T1
7676	76	20	RUMINE	4	CTR	T1
7777	77	21	RUMINE	12	CTR	T1
7878	78	22	RUMINE	20	CTR	T1
7979	79	23	RUMINE	44	CTR	T1
8080	80	24	RUMINE	69	CTR	T1
8181	81	25	RUMINE	295	CTR	T1
8282	82	26	RUMINE	313	CTR	T1
8383	83	27	RUMINE	325	CTR	T1
8484	84	28	RUMINE	332	CTR	T1
8585	85	29	RUMINE	355	CTR	T1
8686	86	30	RUMINE	14	BD1	T2
8787	87	31	RUMINE	297	BD1	T2
8888	88	32	RUMINE	311	BD1	T2
8989	89	33	RUMINE	314	BD1	T2
9090	90	34	RUMINE	321	BD1	T2
9191	91	35	RUMINE	357	BD1	T2
9292	92	36	RUMINE	359	BD1	T2
9393	93	37	RUMINE	9	BD1	T2
9494	94	38	RUMINE	34	BD1	T2
9595	95	39	RUMINE	338	BD1	T2
9696	96	40	RUMINE	11	BD2	T2
9797	97	41	RUMINE	17	BD2	T2
9898	98	42	RUMINE	30	BD2	T2
9999	99	43	RUMINE	73	BD2	T2
100100	100	44	RUMINE	289	BD2	T2
101101	101	45	RUMINE	294	BD2	T2
102102	102	46	RUMINE	307	BD2	T2
103103	103	47	RUMINE	8	BD2	T2
104104	104	48	RUMINE	2	BD2	T2
105105	105	49	RUMINE	4	CTR	T2
106106	106	50	RUMINE	12	CTR	T2
107107	107	51	RUMINE	20	CTR	T2
108108	108	52	RUMINE	44	CTR	T2
109109	109	53	RUMINE	69	CTR	T2
110110	110	54	RUMINE	295	CTR	T2
111111	111	55	RUMINE	313	CTR	T2
112112	112	56	RUMINE	325	CTR	T2
113113	113	57	RUMINE	332	CTR	T2
114114	114	58	RUMINE	355	CTR	T2
