#SampleID	nid	seriale	id	cow	treatment	timepoint
11	1	2	RAR1	99	control	T0
22	2	3	RAR59	575	control	T0
33	3	5	RAR31	191	sealant	T0
44	4	8	RAR32	78	control	T0
55	5	10	RAR75	183	control	T4
66	6	11	RAR6	65	control	T0
77	7	14	RAR34	147	sealant	T0
88	8	15	RAR35	191	sealant	T4
99	9	19	RAR20	158	sealant	T4
1010	10	20	RAR13	65	control	T4
1111	11	21	RAR11	158	sealant	T0
1212	12	23	RAR7	99	control	T4
1313	13	24	RAR56	78	control	T4
1414	14	25	RAR57	147	sealant	T4
1515	15	26	RAR61	157	sealant	T0
1616	16	28	RAR81	161	sealant	T0
1717	17	29	RAR73	157	sealant	T4
1818	18	31	RAR86	115	aloe	T0
1919	19	32	RAR66	117	control	T0
2020	20	33	RAR78	152	aloe	T0
2121	21	34	RAR67	139	sealant	T0
2222	22	35	RAR74	199	aloe	T0
2323	23	36	RAR79	199	aloe	T4
2424	24	37	RAR87	161	sealant	T4
2525	25	39	RAR88	202	control	T4
2626	26	42	RAR77	139	sealant	T4
2727	27	45	RAR62	183	control	T0
2828	28	47	RAR70	95	control	T4
2929	29	48	RAR82	202	control	T0
3030	30	49	RAR95	115	aloe	T4
3131	31	50	RAR60	95	control	T0
3232	32	51	RAR91	193	control	T0
3333	33	52	RAR92	217	aloe	T0
3434	34	55	RAR85	587	sealant	T0
3535	35	56	RAR96	577	aloe	T0
3636	36	57	RAR72	117	control	T4
3737	37	58	RAR94	587	sealant	T4
3838	38	59	RAR69	575	control	T4
3939	39	60	RAR90	152	aloe	T4
4040	40	61	RAR115	178	aloe	T4
4141	41	63	RAR102	170	aloe	T0
4242	42	64	RAR121	596	aloe	T4
4343	43	66	RAR101	603	sealant	T0
4444	44	67	RAR120	201	aloe	T4
4545	45	68	RAR106	581	sealant	T0
4646	46	70	RAR98	96	aloe	T0
4747	47	72	RAR99	193	control	T4
4848	48	73	RAR103	577	aloe	T4
4949	49	76	RAR110	178	aloe	T0
5050	50	77	RAR116	192	control	T4
5151	51	79	RAR100	217	aloe	T4
5252	52	80	RAR125	197	sealant	T4
5353	53	81	RAR111	192	control	T0
5454	54	82	RAR109	170	aloe	T4
5555	55	83	RAR113	581	sealant	T4
5656	56	84	RAR108	603	sealant	T4
5757	57	85	RAR123	197	sealant	T0
5858	58	86	RAR119	596	aloe	T0
5959	59	87	RAR117	201	aloe	T0
6060	60	88	RAR105	96	aloe	T4
